,0,1,2,3,4,5,6
1,77,77,68,77,76,75,76
2,88,88,88,68,68,73,68
3,68,88,68,88,68,68,68
4,80,73,80,68,77,68,68
5,80,88,78,78,78,78,80
6,80,68,80,80,80,68,80
7,80,80,80,68,87,68,80
8,77,68,68,77,68,77,77
9,68,80,68,68,68,68,68
10,89,89,89,89,80,69,69
11,88,88,88,68,88,88,68
12,88,68,78,88,68,68,68
13,77,77,68,68,77,68,68
14,80,86,86,86,67,67,86
15,80,69,69,69,80,69,80
16,77,77,68,77,86,77,68
17,83,83,83,73,78,83,83
18,68,80,80,68,80,68,80
19,68,68,80,80,80,68,80
20,86,68,86,86,68,68,86
21,77,77,88,84,73,69,73
22,89,69,73,89,89,80,73
23,80,88,69,69,69,80,80
24,69,78,73,69,69,73,78
25,69,69,69,69,69,77,77
26,68,77,77,77,77,68,77
27,73,73,73,68,68,68,68
28,68,80,80,68,68,80,88
29,77,73,74,74,78,77,68
30,80,80,80,40,80,80,80
31,68,80,88,88,80,80,80
32,67,79,79,67,67,67,79
33,86,68,88,68,73,88,73
34,68,80,80,68,77,80,68
35,68,68,76,74,74,68,80
36,80,86,86,80,80,86,80
37,67,67,67,67,80,80,80
38,88,88,68,68,87,68,88
39,87,73,73,73,78,68,73
40,68,77,68,77,77,77,77
41,68,77,77,68,68,77,77
42,77,67,67,77,77,67,67
43,88,67,67,80,80,88,88
44,67,80,88,88,88,80,88
45,67,77,67,80,80,77,80
46,67,67,67,80,67,80,67
47,77,80,67,77,67,67,77
48,67,67,79,79,79,67,79
49,86,86,67,86,86,77,77
50,86,73,73,86,86,87,73
51,90,80,80,80,89,86,67
52,67,67,67,80,67,80,67
53,73,67,67,73,73,67,88
54,68,80,80,80,68,88,80
55,80,88,86,80,78,86,86
56,78,78,80,80,80,67,80
57,80,67,80,67,80,67,67
58,80,80,80,67,80,80,80
59,67,80,67,80,67,67,80
60,66,80,80,80,66,80,80
61,67,80,80,67,80,67,67
62,74,87,67,73,87,87,67
63,77,77,77,76,67,77,67
64,67,67,80,67,80,80,67
65,80,80,66,66,66,77,66
66,86,68,77,86,77,77,77
67,77,67,77,77,67,67,77
68,67,73,73,88,88,73,67
69,86,89,89,86,77,89,67
70,86,86,86,77,67,67,67
71,76,76,84,84,75,76,76
72,78,67,67,78,78,78,78
73,67,90,67,67,90,90,73
74,77,77,73,80,80,73,80
75,67,67,67,79,67,79,79
76,80,66,66,66,66,66,66
77,66,88,66,80,80,88,66
78,80,76,66,80,80,66,76
79,73,88,88,73,73,66,66
80,66,89,73,73,89,77,89
81,77,67,67,86,67,77,67
82,66,66,87,73,73,74,74
83,86,77,66,77,66,86,86
84,83,83,83,83,87,87,67
85,77,77,67,77,77,77,67
86,66,66,66,66,80,66,80
87,66,80,80,80,66,66,80
88,77,86,66,86,66,66,66
89,55,87,87,87,87,82,87
90,66,66,77,86,66,66,77
91,77,77,76,77,84,77,77
92,73,86,66,86,78,86,78
93,77,77,80,69,80,69,77
94,77,63,63,63,63,77,63
95,84,84,84,65,76,76,65
96,73,73,73,87,64,64,87
97,74,63,80,63,80,74,63
98,64,64,88,64,80,88,88
99,84,75,10,76,84,75,76
100,78,78,78,80,80,78,88
101,74,73,74,75,83,75,54
102,43,75,75,75,43,75,75
103,76,84,76,69,69,76,84
104,77,77,77,69,69,77,69
105,77,77,77,69,77,69,77
106,69,80,69,88,69,80,69
107,80,80,69,69,69,80,69
108,77,69,69,77,77,77,77
109,87,87,69,77,69,87,77
110,89,77,77,89,77,77,73
111,77,69,77,86,69,77,77
112,76,76,69,76,76,69,69
113,69,80,80,80,69,69,80
114,75,75,69,75,69,75,75
115,69,69,79,79,69,69,69
116,69,69,77,77,69,69,77
117,74,73,74,74,88,88,88
118,69,73,74,69,69,69,69
119,79,67,79,67,67,67,67
120,69,78,77,78,69,78,78
121,69,87,69,69,87,87,73
122,69,69,77,77,77,77,77
123,69,77,83,83,83,69,83
124,69,85,85,69,85,80,80
125,86,69,80,69,86,69,69
126,69,69,80,69,69,80,69
127,78,45,78,78,80,45,45
128,73,73,88,69,73,88,88
129,88,88,78,69,80,80,88
130,69,69,78,69,69,78,69
131,86,86,80,80,86,80,34
132,74,12,84,74,76,12,80
133,80,12,12,86,12,86,86
134,80,14,14,14,14,80,80
135,80,80,41,85,87,85,87
136,80,80,80,80,12,80,80
137,69,80,80,80,69,69,69
138,77,69,77,77,76,76,77
139,76,42,77,42,76,76,77
140,66,76,76,66,74,66,66
141,27,76,74,74,81,27,74
142,74,84,44,44,76,84,74
143,38,38,84,84,84,38,84
144,88,88,73,88,88,61,61
145,65,65,65,65,73,87,87
146,69,69,80,69,69,80,69
147,88,69,88,69,69,69,69
148,73,73,74,74,69,74,73
149,80,80,80,69,69,80,69
150,69,69,69,77,69,69,80
151,74,44,76,44,77,44,44
152,46,87,77,77,87,87,87
153,77,77,77,77,61,77,61
154,77,52,52,52,52,52,77
155,86,84,60,84,86,86,60
156,88,65,78,88,65,78,78
157,80,59,89,59,80,89,89
158,62,62,62,77,77,77,77
159,88,88,85,88,65,85,65
160,65,80,80,65,65,80,80
161,86,86,59,59,86,73,86
162,54,80,54,54,80,54,54
163,47,77,77,47,77,47,77
164,74,62,73,62,74,88,73
165,80,59,59,80,80,80,80
166,80,59,80,80,80,80,59
167,53,53,77,77,77,77,53
168,47,47,77,77,47,77,47
169,75,77,66,75,75,66,66
170,77,86,77,86,61,80,61
171,64,87,87,64,87,87,64
172,73,74,53,74,74,87,73
173,73,77,86,86,73,77,86
174,74,74,73,74,73,73,74
175,58,87,87,58,87,58,58
176,87,87,89,73,89,87,87
177,39,90,73,39,90,39,90
178,80,80,30,80,30,30,80
179,44,87,87,87,44,87,44
180,89,89,89,52,80,80,52
181,89,86,74,86,86,73,87
182,80,80,78,63,63,78,63
183,73,83,52,83,52,52,73
184,73,66,83,83,83,66,66
185,86,86,86,86,88,86,86
186,77,77,73,84,77,77,73
187,78,47,73,80,78,73,73
188,89,73,73,80,80,80,89
189,65,77,77,77,75,65,77
190,62,80,89,80,80,62,62
191,80,57,80,80,57,85,85
192,53,53,80,80,80,80,53
193,56,56,56,56,56,56,80
194,77,78,78,78,46,77,77
195,88,88,88,88,87,88,73
196,80,62,62,80,80,80,80
197,86,80,86,40,80,86,80
198,63,63,88,63,88,88,88
199,80,80,89,89,30,30,89
200,53,83,53,53,83,53,53
201,73,83,77,83,77,77,60
202,66,86,77,66,86,66,66
203,65,90,65,90,65,65,90
204,87,58,87,87,58,77,58
205,89,43,80,89,43,80,89
206,75,87,88,75,61,88,75
207,63,73,80,86,80,80,63
208,83,77,77,47,77,77,47
209,80,84,77,77,77,80,84
210,62,62,62,73,74,62,73
211,89,89,77,89,43,77,43
212,61,61,61,80,61,80,61
213,86,86,80,86,80,80,86
214,84,89,89,80,89,84,80
215,62,80,62,62,80,80,62
216,62,86,77,77,77,62,77
217,86,83,65,65,86,86,86
218,88,64,88,64,64,64,88
219,57,57,57,57,57,57,83
220,86,86,77,86,86,77,86
221,69,69,69,80,80,69,69
222,87,69,87,87,73,73,74
223,80,69,80,80,80,69,88
224,69,69,80,69,69,80,80
225,69,77,76,69,69,76,69
226,73,88,63,88,63,63,63
227,74,64,64,87,73,74,74
228,74,55,74,55,55,74,74
229,57,74,87,73,87,73,73
230,87,73,59,59,59,73,59
231,78,65,73,77,73,65,74
232,90,77,77,73,73,61,77
233,73,73,65,73,65,65,65
234,83,48,48,73,48,48,48
235,87,87,69,77,77,77,77
236,77,69,77,69,80,80,77
237,69,86,80,86,80,69,80
238,77,60,77,77,60,60,60
239,87,78,78,87,78,65,65
240,77,75,75,69,69,77,77
241,86,86,73,86,73,86,65
242,70,70,77,77,77,70,70
243,70,77,70,77,77,70,70
244,70,73,80,88,88,88,70
245,80,70,70,88,70,88,73
246,86,80,70,86,80,80,80
247,73,70,76,73,70,74,74
248,77,70,78,77,70,77,78
249,70,70,77,70,77,70,77
250,73,87,70,73,73,73,73
251,70,70,77,70,77,70,70
252,70,88,87,74,73,70,87
253,86,86,70,70,80,80,80
254,73,78,70,78,74,78,70
255,86,86,70,77,70,70,77
256,77,77,77,86,86,77,70
257,74,74,77,74,87,87,73
258,70,80,70,80,70,80,80
259,76,77,70,76,76,76,70
260,85,85,87,88,85,85,70
261,70,70,77,77,76,70,76
262,70,70,80,70,70,80,70
263,70,70,70,70,70,73,73
264,70,70,88,87,87,87,87
265,88,88,88,63,73,73,63
266,74,73,74,73,70,74,73
267,72,0,0,0,0,0,0
268,70,86,70,80,70,86,80
269,70,70,70,70,70,77,77
270,70,70,87,80,87,88,87
271,74,73,73,87,89,89,73
272,80,70,70,70,80,70,80
273,78,68,68,88,68,68,68
274,86,86,68,86,77,68,77
275,68,68,86,80,68,68,80
276,80,80,86,68,80,80,80
277,80,68,68,80,68,68,80
278,69,69,86,80,69,86,80
279,68,80,68,80,68,80,80
280,86,69,86,80,86,80,69
281,67,73,67,73,88,67,88
282,80,69,69,80,80,69,69
283,86,69,69,69,80,69,86
284,69,86,69,69,69,69,77
285,80,80,69,80,80,69,80
286,89,86,89,86,69,69,86
287,80,80,69,69,69,69,80
288,83,88,69,69,88,83,69
289,84,69,80,84,69,69,80
290,77,77,70,77,70,77,77
291,70,85,88,88,88,70,85
292,80,80,80,70,70,80,70
293,80,80,80,78,70,78,70
294,77,70,77,70,70,77,77
295,88,70,88,70,73,70,88
296,80,70,70,80,80,80,70
297,80,70,70,80,80,80,80
298,88,88,73,70,70,70,88
299,80,82,70,78,80,82,82
300,70,73,88,88,70,88,88
301,70,77,77,70,77,70,70
302,82,85,78,70,88,82,88
303,70,70,70,70,80,80,70
304,69,76,74,76,69,74,76
305,70,70,80,70,70,80,70
306,70,70,86,70,86,86,80
307,88,70,70,83,78,78,85
308,81,80,76,76,80,80,76
309,78,78,78,70,78,78,78
310,80,80,80,70,70,80,80
311,86,80,80,80,88,70,86
312,80,77,77,77,77,78,77
313,70,73,73,73,73,86,73
314,73,73,70,70,76,73,73
315,80,80,71,88,80,88,71
316,77,77,70,70,70,70,80
317,80,66,80,66,80,66,80
